"Tempo","Temperatura"
57.7450,321.4
57.7500,321.4
57.7550,321.4
57.7600,321.4
57.7650,321.4
57.7700,321.4
57.7750,321.5
57.7800,321.4
57.7850,321.4
57.7900,321.5
57.7950,321.5
57.8000,321.5
57.8050,321.5
57.8100,321.5
57.8150,321.5
57.8200,321.5
57.8250,321.5
57.8300,321.5
57.8350,321.5
57.8400,321.5
57.8450,321.5
57.8500,321.5
57.8550,321.5
57.8600,321.5
57.8650,321.5
57.8700,321.5
57.8750,321.5
57.8800,321.5
57.8850,321.5
57.8900,321.5
57.8950,321.5
57.9000,321.5
57.9050,321.5
57.9100,321.5
57.9150,321.5
57.9200,321.5
57.9250,321.6
57.9300,321.5
57.9350,321.5
57.9400,321.5
57.9450,321.5
57.9500,321.6
57.9550,321.6
57.9600,321.7
57.9650,321.6
57.9700,321.6
57.9750,321.6
57.9800,321.7
57.9850,321.6
57.9900,321.7
57.9950,321.7
58.0000,321.7
58.0050,321.7
58.0100,321.7
58.0150,321.7
58.0200,321.7
58.0250,321.7
58.0300,321.7
58.0350,321.7
58.0400,321.7
58.0450,321.7
58.0500,321.8
58.0550,321.8
58.0600,321.8
58.0650,321.8
58.0700,321.8
58.0750,321.8
58.0800,321.8
58.0850,321.8
58.0900,321.8
58.0950,321.8
58.1000,321.8
58.1050,321.8
58.1100,321.8
58.1150,321.8
58.1200,321.8
58.1250,321.8
58.1300,321.8
58.1350,321.8
58.1400,321.8
58.1450,321.8
58.1500,321.8
58.1550,321.8
58.1600,321.8
58.1650,321.8
58.1700,321.8
58.1750,321.8
58.1800,321.8
58.1850,321.8
58.1900,321.8
58.1950,321.8
58.2000,321.8
58.2050,321.8
58.2100,321.8
58.2150,321.9
58.2200,321.9
58.2250,321.9
58.2300,321.9
58.2350,321.9
58.2400,321.9
58.2450,321.9
58.2500,321.9
58.2550,321.9
58.2600,322.0
58.2650,321.9
58.2700,322.0
58.2750,322.0
58.2800,322.0
58.2850,322.0
58.2900,322.0
58.2950,322.0
58.3000,322.0
58.3050,322.0
58.3100,322.0
58.3150,322.0
58.3200,322.0
58.3250,322.0
58.3300,322.0
58.3350,322.0
58.3400,322.0
58.3450,322.0
58.3500,322.0
58.3550,322.0
58.3600,322.0
58.3650,322.0
58.3700,322.0
58.3750,322.0
58.3800,322.0
58.3850,322.0
58.3900,322.0
58.3950,322.0
58.4000,322.0
58.4050,322.0
58.4100,322.0
58.4150,322.0
58.4200,322.0
58.4250,322.0
58.4300,322.0
58.4350,322.0
58.4400,322.1
58.4450,322.1
58.4500,322.1
58.4550,322.1
58.4600,322.1
58.4650,322.1
58.4700,322.1
58.4750,322.1
58.4800,322.1
58.4850,322.1
58.4900,322.1
58.4950,322.1
58.5000,322.1
58.5050,322.1
58.5100,322.1
58.5150,322.1
58.5200,322.1
58.5250,322.2
58.5300,322.1
58.5350,322.1
58.5400,322.1
58.5450,322.1
58.5500,322.1
58.5550,322.1
58.5600,322.1
58.5650,322.1
58.5700,322.2
58.5750,322.2
58.5800,322.3
58.5850,322.2
58.5900,322.3
58.5950,322.3
58.6000,322.3
58.6050,322.2
